"Bola","QTD"
"1","278"
"2","283"
"6","285"
"8","280"
"20","281"
"24","283"
"25","284"
"29","285"
"36","289"
"45","281"
"49","289"
"50","281"
"51","288"
"52","284"
"59","278"
